x,y,raw,cumulative,logistic
2765.0,2765.0,2.24395E-4,76.620211149,0.619242558
2766.0,2766.0,1.36961E-6,0.047942323,0.00982895
2767.0,2767.0,7.85526E-5,15.908314375,0.362783128
2768.0,2768.0,2.57665E-6,0.111793602,0.018332379
2769.0,2769.0,9.21577E-6,0.516174319,0.062611041
2770.0,2770.0,1.71609E-4,59.78551172,0.554321703
2771.0,2771.0,1.61634E-4,55.65745591,0.53948325
2772.0,2772.0,8.09286E-5,16.817524232,0.369699734
2773.0,2773.0,1.10202E-4,30.088606294,0.444046246
2774.0,2774.0,9.59824E-7,0.022009261,0.006908447
2775.0,2775.0,1.28104E-5,0.888359669,0.084957669
2776.0,2776.0,6.34511E-5,11.462300082,0.315009345
2777.0,2777.0,3.58323E-5,5.368608858,0.206161162
2778.0,2778.0,2.27535E-4,77.47897923,0.622513191
2779.0,2779.0,1.10308E-4,30.143735847,0.444282448
2780.0,2780.0,1.69656E-5,1.493354134,0.109497595
2781.0,2781.0,1.29314E-6,0.043806048,0.009285281
2782.0,2782.0,1.04571E-4,27.224111399,0.431139012
2783.0,2783.0,1.18556E-5,0.778443427,0.079126426
2784.0,2784.0,1.3461E-5,0.968572559,0.088889131
2785.0,2785.0,4.07851E-6,0.197897501,0.028711048
2786.0,2786.0,4.49717E-5,7.186728479,0.245818488
2787.0,2787.0,2.43461E-5,3.011198706,0.149987252
2788.0,2788.0,2.80786E-5,3.914124311,0.169093414
2789.0,2789.0,4.06539E-5,6.349123423,0.227588584
2790.0,2790.0,2.57373E-4,84.380257447,0.651003849
2791.0,2791.0,2.65638E-5,3.542655274,0.161444119
2792.0,2792.0,2.34686E-4,79.467700642,0.62975735
2793.0,2793.0,9.99115E-5,25.016154327,0.419996503
2794.0,2794.0,4.63961E-6,0.233208705,0.032532462
2795.0,2795.0,1.03627E-4,26.765948262,0.428915184
2796.0,2796.0,1.26721E-4,38.534431594,0.478741106
2797.0,2797.0,2.07459E-4,72.632543966,0.600574483
2798.0,2798.0,8.02859E-5,16.567476566,0.367843523
2799.0,2799.0,1.96543E-5,1.979523018,0.124686827
2800.0,2800.0,6.4545E-7,0.006114351,0.004656241
2801.0,2801.0,1.05739E-6,0.026859157,0.007605334
2802.0,2802.0,2.37975E-6,0.099879275,0.016955279
2803.0,2803.0,4.15917E-6,0.201600966,0.029262239
2804.0,2804.0,9.02409E-5,20.689692509,0.39541903
2805.0,2805.0,5.47771E-5,9.241677556,0.284184232
2806.0,2806.0,5.11348E-7,0.002535142,0.003692406
2807.0,2807.0,9.39582E-6,0.528274623,0.063756267
2808.0,2808.0,1.18122E-4,34.332905006,0.46124
2809.0,2809.0,1.39022E-4,44.893770365,0.501890714
2810.0,2810.0,2.47317E-4,82.261543909,0.641894686
2811.0,2811.0,1.14806E-4,32.621838758,0.4541721
2812.0,2812.0,5.06893E-6,0.261442691,0.035436141
2813.0,2813.0,9.44249E-5,22.508071559,0.406303332
2814.0,2814.0,2.31579E-6,0.096349587,0.016507094
2815.0,2815.0,7.61749E-5,15.335232132,0.355708218
2816.0,2816.0,1.8737E-4,66.265138403,0.575911523
2817.0,2817.0,1.45926E-5,1.124385322,0.095646798
2818.0,2818.0,3.86214E-6,0.18477403,0.027229397
2819.0,2819.0,1.57369E-6,0.059118895,0.011277007
2820.0,2820.0,2.24091E-4,76.530464275,0.618922493
2821.0,2821.0,1.42822E-5,1.081040998,0.093803321
2822.0,2822.0,1.1414E-4,32.278406889,0.452730253
2823.0,2823.0,2.6291E-5,3.497722055,0.160051432
2824.0,2824.0,7.12233E-5,13.736390922,0.340458383
2825.0,2825.0,3.66041E-4,94.998226153,0.726248925
2826.0,2826.0,2.05741E-5,2.196804134,0.129764542
2827.0,2827.0,1.62618E-5,1.360364095,0.105434072
2828.0,2828.0,4.82848E-5,7.827259867,0.25923345
2829.0,2829.0,1.05751E-4,27.876131997,0.433892049
2830.0,2830.0,4.95136E-5,8.11041457,0.264088404
2831.0,2831.0,7.4205E-5,14.702994743,0.349726616
2832.0,2832.0,3.73928E-5,5.713149814,0.21322514
2833.0,2833.0,2.5848E-5,3.382881301,0.157779842
2834.0,2834.0,1.86132E-4,65.81720818,0.574291571
2835.0,2835.0,3.84487E-5,5.92963315,0.217933744
2836.0,2836.0,5.36292E-6,0.280281911,0.037414527
2837.0,2837.0,4.36351E-5,6.943010302,0.240267759
2838.0,2838.0,2.14046E-4,74.361730981,0.608048816
2839.0,2839.0,1.56924E-4,53.284777766,0.532128328
2840.0,2840.0,2.34659E-4,79.444232033,0.629730057
2841.0,2841.0,3.47102E-6,0.162674552,0.024539544
2842.0,2842.0,5.54168E-5,9.384873537,0.286551748
2843.0,2843.0,3.178E-5,4.616787254,0.18721091
2844.0,2844.0,9.94213E-7,0.023379906,0.007154196
2845.0,2845.0,2.57724E-4,84.457533726,0.651313603
2846.0,2846.0,2.79914E-5,3.897307258,0.168657187
2847.0,2847.0,3.0796E-5,4.4040546,0.182471854
2848.0,2848.0,1.63038E-4,56.274143718,0.541630853
2849.0,2849.0,1.92288E-5,1.882235494,0.122317783
2850.0,2850.0,4.6838E-5,7.51343496,0.253434555
2851.0,2851.0,2.13281E-4,74.105208577,0.607195575
2852.0,2852.0,5.79452E-5,9.929901972,0.295759034
2853.0,2853.0,9.64269E-5,23.424186049,0.411374211
2854.0,2854.0,9.26216E-6,0.519870575,0.062906395
2855.0,2855.0,1.41599E-4,46.296447699,0.506480582
2856.0,2856.0,9.51642E-6,0.537733181,0.064521815
2857.0,2857.0,3.51938E-5,5.251504947,0.203234225
2858.0,2858.0,1.42462E-4,46.637327384,0.508000557
2859.0,2859.0,1.33649E-5,0.953810426,0.088310673
